Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
0.0,0.0,0.0,836559.4856303189,818602.936434033,836559.4856303189,818602.936434033
0.0,359.94,359.94,836559.4856243706,818602.9421139373,836559.4856243706,818602.9421139373
0.02,359.88,359.88,836559.4856005779,818602.9534737278,836559.4856005779,818602.9534737278
0.02,359.83,359.83,836559.4855837249,818602.95915361,836559.4855837249,818602.95915361
0.03,359.73,359.73,836559.485556959,818602.9648334557,836559.485556959,818602.9648334557
0.04,359.7,359.7,836559.4855272201,818602.9705132854,836559.4855272201,818602.9705132854
0.05,359.67,359.67,836559.485494506,818602.9761930988,836559.485494506,818602.9761930988
0.06,359.66,359.66,836559.4854608001,818602.9818729062,836559.4854608001,818602.9818729062
0.07,359.64,359.64,836559.485425113,818602.9875527015,836559.485425113,818602.9875527015
0.08,359.61,359.61,836559.4853864507,818602.9932324786,836559.4853864507,818602.9932324786
0.09,359.59,359.59,836559.485345807,818602.9989122417,836559.485345807,818602.9989122417
0.1,359.57,359.57,836559.48530318,818603.0045919905,836559.48530318,818603.0045919905
0.12,359.52,359.52,836559.4852080127,818603.0159514074,836559.4852080127,818603.0159514074
0.12,359.46,359.46,836559.4851544809,818603.0216310632,836559.4851544809,818603.0216310632
0.14,359.33,359.33,836559.4850216452,818603.0329901024,836559.4850216452,818603.0329901024
0.14,359.27,359.27,836559.4849492791,818603.0386695503,836559.4849492791,818603.0386695503
0.16,359.23,359.23,836559.4847966194,818603.050028341,836559.4847966194,818603.050028341
0.16,359.2,359.2,836559.4847173154,818603.055707696,836559.4847173154,818603.055707696
0.17,359.17,359.17,836559.4846350383,818603.0613870086,836559.4846350383,818603.0613870086
0.18,359.15,359.15,836559.4845507778,818603.0670662909,836559.4845507778,818603.0670662909
0.19,359.11,359.11,836559.4844625526,818603.0727455146,836559.4844625526,818603.0727455146
0.2,359.09,359.09,836559.484372346,818603.0784247059,836559.484372346,818603.0784247059
0.21,359.06,359.06,836559.4842791642,818603.0841038488,836559.4842791642,818603.0841038488
0.22,359.02,359.02,836559.4841820176,818603.0897829251,836559.4841820176,818603.0897829251
0.23,358.99,358.99,836559.484081898,818603.0954619509,836559.484081898,818603.0954619509
0.24,358.92,358.92,836559.4839748405,818603.1011408493,836559.4839748405,818603.1011408493
0.25,358.88,358.88,836559.4838638181,818603.1068196731,836559.4838638181,818603.1068196731
0.26,358.85,358.85,836559.4837498227,818603.1124984364,836559.4837498227,818603.1124984364
0.27,358.82,358.82,836559.4836328542,818603.1181771389,836559.4836328542,818603.1181771389
0.28,358.79,358.79,836559.4835129126,818603.1238557809,836559.4835129126,818603.1238557809
0.29,358.73,358.73,836559.4833870248,818603.1295342937,836559.4833870248,818603.1295342937
0.3,358.7,358.7,836559.4832581619,818603.1352127397,836559.4832581619,818603.1352127397
