Quasi_Static_Interval_Number,Compass_Heading_mean,True_Heading_mean,Heading_Difference,Gyro_Magnitude_mean,Step_mean,Step_min,Step_max
0,7.316059732799999,,,322.79910391097127,6.0,0.0,12.0
1,-86.20314231578948,185.07029799768023,271.2734403134697,309.0442440113654,25.0,20.5,29.5
2,9.73246284736842,143.53172061398553,133.7992577666171,337.43670937363015,47.25,38.0,56.5
3,-73.60792120408163,169.42899133513228,243.03691253921392,302.7421596732328,95.5,83.5,107.5
4,17.007678139240507,178.03640868931365,161.02873055007313,316.902537505176,135.0,115.5,154.5
